hostname,pl_name,pl_rade,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,is_habitable
Kepler-393,Kepler-393 c,1.4,0.128,1052.0,6735.0,1.604,1.315,0
K2-12,K2-12 b,2.44,0.0792,1026.0,5672.0,1.117,0.965,0
Kepler-31,Kepler-31 d,4.2,0.411,480.0,6514.0,1.15,1.208,0
Kepler-439,Kepler-439 b,2.33,0.5886,284.0,5592.0,0.782,0.856,1
Kepler-1047,Kepler-1047 b,1.79,0.2855,468.0,5798.0,0.958,0.98,0
EPIC 249893012,EPIC 249893012 b,1.95,0.047,1616.0,5430.0,1.71,1.05,0
Kepler-741,Kepler-741 b,2.48,0.074,1041.0,6319.0,1.032,1.084,0
Kepler-1382,Kepler-1382 b,1.21,0.127,715.0,5983.0,0.93,1.029,0
Kepler-288,Kepler-288 b,1.64,0.0638,1068.0,5918.0,1.068,0.931,0
Kepler-1726,Kepler-1726 b,2.44,0.1295,630.0,5470.0,0.884,0.854,0
Kepler-1313,Kepler-1313 b,3.56,0.0454,1432.0,5351.0,1.671,0.849,0
Kepler-972,Kepler-972 b,4.1,0.073,1050.0,6103.0,1.11,1.05,0
CoRoT-9,CoRoT-9 b,11.623733,0.4027,413.0,5625.0,0.938,0.96,0
Kepler-356,Kepler-356 b,1.3,0.0556,1207.0,6129.0,1.108,1.072,0
Kepler-292,Kepler-292 e,2.5,0.096,727.0,5447.0,0.88,0.834,0
Kepler-1755,Kepler-1755 b,4.4,0.1668,631.0,6086.0,0.921,1.003,0
Kepler-930,Kepler-930 b,2.8,0.349,555.0,6130.0,1.47,1.11,0
Kepler-155,Kepler-155 c,2.29,0.237,319.0,4526.0,0.606,0.635,1
Kepler-603,Kepler-603 d,1.81,0.0666,1098.0,5751.0,1.247,1.018,0
Kepler-131,Kepler-131 c,0.77,0.1736,600.0,5791.0,0.958,1.071,0
Kepler-1041,Kepler-1041 b,2.59,0.1688,644.0,6106.0,0.966,1.043,0
Kepler-823,Kepler-823 b,1.95,0.0523,1204.0,5739.0,1.183,1.096,0
Kepler-32,Kepler-32 e,1.11,0.033,714.0,4061.0,0.524,0.549,0
Kepler-188,Kepler-188 c,3.08,0.0644,1094.0,6020.0,1.093,0.989,0
Kepler-508,Kepler-508 b,1.57,0.17,661.0,5981.0,1.066,1.028,0
KOI-7368,KOI-7368 b,3.94,0.0678,805.0,5225.0,0.827,0.883,0
NGTS-25,NGTS-25 b,11.46678726,0.0388,1101.0,5321.0,0.86,0.91,0
Kepler-541,Kepler-541 b,1.85,0.059,1211.0,6074.0,1.21,1.04,0
Kepler-382,Kepler-382 c,1.68,0.0958,771.0,5594.0,0.935,0.793,0
Kepler-321,Kepler-321 c,2.2,0.1096,752.0,5772.0,0.956,1.022,0
Kepler-61,Kepler-61 b,2.17,0.2523,272.0,4014.0,0.596,0.596,1
Kepler-1979,Kepler-1979 b,5.28,0.1383,683.0,5942.0,0.938,1.028,0
Kepler-333,Kepler-333 b,1.34,0.0896,480.0,4213.0,0.598,0.609,0
Kepler-1756,Kepler-1756 b,1.34,0.0313,1083.0,4962.0,0.767,0.738,0
Kepler-775,Kepler-775 b,1.19,0.0187,1614.0,5487.0,0.832,0.924,0
Kepler-283,Kepler-283 b,3.44,0.08852,651.0,5189.0,0.72,0.76,0
Kepler-225,Kepler-225 c,2.29,0.116,418.0,4304.0,0.563,0.593,0
Kepler-239,Kepler-239 c,2.19,0.2665,365.0,4980.0,0.734,0.801,0
Kepler-804,Kepler-804 b,1.9,0.1138,767.0,5775.0,1.031,0.95,0
Kepler-982,Kepler-982 b,2.87,0.1287,978.0,6260.0,1.614,1.14,0
Kepler-322,Kepler-322 c,1.63,0.05,996.0,5390.0,0.876,0.883,0
Kepler-1113,Kepler-1113 b,2.32,0.2323,520.0,5749.0,0.978,0.932,0
Kepler-51,Kepler-51 b,7.1,0.2514,543.0,6018.0,0.94,1.04,0
Kepler-1440,Kepler-1440 b,1.39,0.2245,570.0,5906.0,1.073,0.95,0
K2-122,K2-122 b,1.21,0.0285,814.0,4027.0,0.6,0.62,0
Kepler-1320,Kepler-1320 b,1.71,0.0164,1409.0,4790.0,0.729,0.776,0
Kepler-342,Kepler-342 d,2.32,0.2412,631.0,6475.0,1.178,1.2,0
Kepler-1100,Kepler-1100 b,1.28,0.0689,1036.0,6201.0,0.989,1.058,0
Kepler-179,Kepler-179 b,1.58,0.0361,1072.0,5294.0,0.761,0.849,0
Kepler-51,Kepler-51 c,6.1,0.3864,423.0,6046.0,0.972,1.053,0
Kepler-1987,Kepler-1987 c,1.13,0.042,812.0,4601.0,0.67,0.74,0
Kepler-1260,Kepler-1260 b,1.45,0.1305,673.0,5923.0,0.866,0.809,0
Kepler-27,Kepler-27 b,4.94,0.1201,630.0,5325.0,0.863,0.981,0
Kepler-103,Kepler-103 b,3.14,0.128,864.0,5845.0,1.436,1.094,0
Kepler-245,Kepler-245 b,2.98,0.0697,821.0,5257.0,0.874,0.804,0
Kepler-229,Kepler-229 d,3.86,0.217,439.0,5031.0,0.848,0.801,0
